time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446300000	16.6932	4.7031	5.17438	0.73288	0.36524	lidar	0.45797	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8452	4.90355	5.10881	0.78441	0.424791	radar	4.64294	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0101	5.12588	5.13198	0.824065	0.44645	lidar	0.49239	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1792	5.30101	5.10543	0.845159	0.450085	radar	1.80772	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3404	5.4804	5.08804	0.864539	0.446854	lidar	0.244838	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4952	5.65631	5.04864	0.887337	0.454884	radar	3.38051	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6918	5.77804	5.00562	0.873158	0.412071	lidar	2.11278	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8327	5.98136	4.97861	0.910142	0.442564	radar	1.19978	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0092	6.16638	4.98537	0.920154	0.427914	lidar	0.744778	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1569	6.37666	4.9947	0.945637	0.433103	radar	0.630585	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2794	6.6092	5.00997	0.982838	0.451184	lidar	0.422883	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4094	6.82616	5.00709	1.0123	0.462997	radar	0.238992	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5602	6.9632	4.93649	1.00596	0.430092	lidar	2.52153	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7087	7.16986	4.95855	1.01485	0.407271	radar	0.594481	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9086	7.30585	4.91811	0.989995	0.355131	lidar	4.29198	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9939	7.51668	4.86537	1.03557	0.403497	radar	4.25791	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.086	7.7723	4.89963	1.07839	0.429379	lidar	0.935426	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2058	7.98164	4.89805	1.09391	0.420204	radar	0.313895	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
